No.,Question,Option A,Option B,Option C,Option D,Correct Answer,Topic,Difficulty
1,What is the correct subject pronoun for “John and I”?,We,They,He,She,A,Subject Pronouns,Basic
2,Which pronoun replaces “Sarah and Tom” in this sentence: “___ are going to the park”?,We,They,You,He,B,Subject Pronouns,Intermediate
3,"Choose the correct pronoun: “Neither Paul nor Susan knows the answer, but ___ will try.”",He,She,They,We,C,Subject Pronouns,Advanced
4,Choose the correct article: “___ orange is on the table.”,A,The,An,Some,C,"Articles A, An",Basic
5,Which article is correct in “He adopted ___ unusual pet.”?,A,An,The,Some,B,"Articles A, An",Intermediate
6,Choose the correct article: “___ honest man always tells the truth.”,A,The,An,One,C,"Articles A, An",Advanced
7,What is the correct form: “I ___ a student”?,am,is,are,be,A,Verb To Be,Basic
8,Complete the sentence: “She ___ very tired after the game.”,is,are,were,am,A,Verb To Be,Intermediate
9,"Fill in the blank: “If I ___ a superhero, I’d fly.”",am,were,was,be,B,Verb To Be,Advanced
10,Choose the correct object pronoun: “She called ___.”,I,me,mine,myself,B,Object Pronouns,Basic
11,Which object pronoun completes the sentence: “Can you help ___ with the bags?”,us,we,they,ours,A,Object Pronouns,Intermediate
12,"Choose the correct option: “They gave the tickets to ___, not to me.”",he,him,his,himself,B,Object Pronouns,Advanced
13,"Choose the correct plural: “One child, two ___.”",childs,childrens,children,childes,C,Singular and Plural Nouns,Basic
14,Which is correct? “There are many ___ in the field.”,sheeps,sheep,sheepen,sheepes,B,Singular and Plural Nouns,Intermediate
15,Choose the correct sentence:,The criterias are clear.,The criteria is clear.,The criteria are clear.,The criterion are clear.,C,Singular and Plural Nouns,Advanced
16,Choose the correct word: “That is ___ pencil.”,me,mine,my,I,C,Possessive Adjective,Basic
17,Complete the sentence: “Each student must bring ___ own book.”,their,his,her,his or her,D,Possessive Adjective,Intermediate
18,Choose the correct sentence:,She forgot her homework.,She forgot hers homework.,She forgot she homework.,She forgot homework her.,A,Possessive Adjective,Advanced
19,Which sentence is correct?,She eat breakfast every day.,She eats breakfast every day.,She eating breakfast every day.,She eaten breakfast every day.,B,Simple Present,Basic
20,Complete the sentence: “Tom usually ___ to the gym after work.”,go,goes,going,gone,B,Simple Present,Intermediate
21,Choose the correct use of the present simple:,Water boils at 100°C.,Water is boiling at 100°C.,Water boil at 100°C.,Water boiled at 100°C.,A,Simple Present,Advanced
22,Choose the correct sentence: “I ___ eating lunch now.”,is,am,be,are,B,Present Progressive,Basic
23,Complete the sentence: “They ___ watching a movie right now.”,are,is,were,be,A,Present Progressive,Intermediate
24,Choose the correct sentence:,She is study for her test.,She studying for her test.,She is studying for her test.,She studies for her test now.,C,Present Progressive,Advanced
25,Is this a yes/no question? “Are you hungry?”,Yes,No,Only sometimes,Depends,A,Yes/No Questions,Basic
26,Which sentence is a correct yes/no question?,You like pizza?,Do you like pizza?,Like you pizza?,Pizza do you like?,B,Yes/No Questions,Intermediate
27,Choose the grammatically correct question:,She is coming?,Is coming she?,Is she coming?,Coming she is?,C,Yes/No Questions,Advanced
28,Choose the correct option: “I ___ go to the gym on weekends.”,always,never,sometimes,all of the above (depending on context),D,Adverbs of Frequency,Basic
29,Choose the correct placement: “He ___ is late.”,often,late often,is often late,often is late,C,Adverbs of Frequency,Intermediate
30,Identify the correct sentence:,They go usually shopping.,Usually they go shopping.,They usually go shopping.,They go shopping usually.,C,Adverbs of Frequency,Advanced
31,Choose the correct sentence: “___ a cat in the garden.”,There are,There is,There were,There be,B,There is/are/was/were,Basic
32,Complete the sentence: “___ any problems with the machine yesterday?”,Is there,Are there,Was there,Were there,D,There is/are/was/were,Intermediate
33,Choose the grammatically correct sentence:,There was many people at the party.,There is many people at the party.,There were many people at the party.,There are many people yesterday.,C,There is/are/was/were,Advanced
34,Which sentence uses a modal of ability?,She can swim.,She swims.,She swim.,She is swimming.,A,Modal of Ability (present),Basic
35,Choose the correct sentence: “I ___ speak three languages.”,could,can,may,will,B,Modal of Ability (present),Intermediate
36,Choose the correct sentence for present ability:,He can to drive.,He can driving.,He can drive.,He cans drive.,C,Modal of Ability (present),Advanced
37,What is the past tense of “go”?,went,go,goed,going,A,Simple Past,Basic
38,Choose the correct form: “They ___ dinner at 6 PM yesterday.”,have,has,had,having,C,Simple Past,Intermediate
